
         654 function calls (651 primitive calls) in 60.478 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 geomath.py:167(sincosd)
       10    0.000    0.000    0.000    0.000 geomath.py:208(isfinite)
        3    0.000    0.000    0.000    0.000 geomath.py:214(isnan)
       26    0.000    0.000    0.000    0.000 geomath.py:37(sq)
        1    0.000    0.000    0.000    0.000 geomath.py:65(atanh)
        5    0.000    0.000    0.000    0.000 geomath.py:85(norm)
        2    0.000    0.000    0.000    0.000 geomath.py:97(sum)
        2    0.000    0.000    4.075    2.037 getpass.py:129(_raw_input)
        2    0.000    0.000    4.075    2.038 getpass.py:29(unix_getpass)
      4/2    0.000    0.000    0.000    0.000 point.py:154(__new__)
        2    0.000    0.000    0.000    0.000 point.py:461(from_sequence)
        2    0.000    0.000    0.000    0.000 point.py:56(_normalize_coordinates)
        8    0.000    0.000    0.000    0.000 point.py:61(<genexpr>)
        1    0.000    0.000    0.000    0.000 units.py:62(kilometers)
        2    0.000    0.000    0.000    0.000 util.py:12(pairwise)
        2    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x908780}
        2    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
        6    0.001    0.000    0.001    0.000 {built-in method _sqlite3.connect}
       30    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        1    0.000    0.000   60.478   60.478 {built-in method builtins.exec}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       23   44.327    1.927   44.327    1.927 {built-in method builtins.input}
        8    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
       22    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        5    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       22    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       85    0.001    0.000    0.001    0.000 {built-in method builtins.print}
        3    0.000    0.000    0.000    0.000 {built-in method builtins.round}
        2    0.000    0.000    0.000    0.000 {built-in method math.atan2}
        1    0.000    0.000    0.000    0.000 {built-in method math.atanh}
        4    0.000    0.000    0.000    0.000 {built-in method math.cos}
        1    0.000    0.000    0.000    0.000 {built-in method math.degrees}
        8    0.000    0.000    0.000    0.000 {built-in method math.fmod}
        2    0.000    0.000    0.000    0.000 {built-in method math.hypot}
        6    0.000    0.000    0.000    0.000 {built-in method math.isfinite}
        3    0.000    0.000    0.000    0.000 {built-in method math.isnan}
        4    0.000    0.000    0.000    0.000 {built-in method math.radians}
        4    0.000    0.000    0.000    0.000 {built-in method math.sin}
       13    0.000    0.000    0.000    0.000 {built-in method math.sqrt}
        2    0.000    0.000    0.000    0.000 {built-in method now}
        1    0.000    0.000    0.000    0.000 {built-in method numpy.array}
        2    0.000    0.000    0.000    0.000 {built-in method posix.open}
       15    0.030    0.002    0.030    0.002 {built-in method posix.system}
        2    0.000    0.000    0.000    0.000 {built-in method sys.exc_info}
        2    0.000    0.000    0.000    0.000 {built-in method termios.tcgetattr}
        4    0.000    0.000    0.000    0.000 {built-in method termios.tcsetattr}
        6   12.039    2.007   12.039    2.007 {built-in method time.sleep}
        4    0.000    0.000    0.000    0.000 {method '__enter__' of '_io._IOBase' objects}
        4    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
        6    0.000    0.000    0.000    0.000 {method 'close' of 'sqlite3.Connection' objects}
        6    0.000    0.000    0.000    0.000 {method 'cursor' of 'sqlite3.Connection' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        6    0.001    0.000    0.001    0.000 {method 'execute' of 'sqlite3.Cursor' objects}
        6    0.000    0.000    0.000    0.000 {method 'fetchall' of 'sqlite3.Cursor' objects}
        4    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        5    0.000    0.000    0.000    0.000 {method 'isnumeric' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 {method 'pop' of 'collections.deque' objects}
        3    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        2    4.075    2.037    4.075    2.037 {method 'readline' of '_io.TextIOWrapper' objects}
        2    0.000    0.000    0.000    0.000 {method 'strftime' of 'datetime.date' objects}
        3    0.000    0.000    0.000    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
        1    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}


